train_sizes,train_scores_mean,val_scores_mean
863,1.0,0.8030223290997747
2806,1.0,0.8198830165855282
4748,1.0,0.8340595502757815
6691,1.0,0.8355428769626551
8634,1.0,0.8361898658159198
