iter	MultiClass
567	1.407696448
568	1.407040086
569	1.406544471
570	1.405797452
571	1.405002252
572	1.404214081
573	1.403221071
574	1.40247108
575	1.401966988
576	1.401014163
577	1.400486819
578	1.399868069
579	1.3992096
580	1.398606045
581	1.397966435
582	1.397272913
583	1.396603541
584	1.395917232
585	1.394764423
586	1.39406676
587	1.393187623
588	1.392337414
589	1.391892664
590	1.391423168
591	1.390582827
592	1.390182089
593	1.389497482
594	1.388933691
595	1.388434436
596	1.387501644
597	1.386910264
598	1.386097348
599	1.385527892
600	1.384694622
601	1.384474567
602	1.383970189
603	1.383047107
604	1.382327674
605	1.381778406
606	1.381092645
607	1.380412271
608	1.37955546
609	1.37866272
610	1.377783641
611	1.377134249
612	1.37686944
613	1.376165635
614	1.375369629
615	1.374751143
616	1.3740216
617	1.373313126
618	1.372501149
619	1.371782812
620	1.371406734
621	1.370988163
622	1.370679587
623	1.370061393
624	1.369706532
625	1.369102838
626	1.36880462
627	1.368088975
628	1.367591212
629	1.366879003
630	1.366275699
631	1.365622995
632	1.364908107
633	1.36433437
634	1.36390995
635	1.363109947
636	1.362755283
637	1.362348547
638	1.361779221
639	1.360926917
640	1.360252602
641	1.35973655
642	1.358774231
643	1.358115957
644	1.357455899
645	1.356826947
646	1.356462214
647	1.355972839
648	1.355494825
649	1.354543103
650	1.354168928
651	1.353540341
652	1.352895925
653	1.352066709
654	1.351629892
655	1.351151901
656	1.350600191
657	1.349749524
658	1.349357467
659	1.348805241
660	1.348040751
661	1.34754383
662	1.347044219
663	1.34660158
664	1.346057214
665	1.345681137
666	1.345289204
667	1.344852362
668	1.344205113
669	1.343564054
670	1.342692536
671	1.342358579
672	1.341702469
673	1.340964549
674	1.340399144
675	1.339861204
676	1.339315098
677	1.338463294
678	1.337697431
679	1.337106076
680	1.336523768
681	1.33589705
682	1.335489362
683	1.334668786
684	1.333991178
685	1.3331744
686	1.332486435
687	1.331948828
688	1.331138212
689	1.330480919
690	1.329791404
691	1.329217197
692	1.328411596
693	1.327432493
694	1.32706624
695	1.326497625
696	1.325945543
697	1.325496307
698	1.324989829
699	1.324385799
700	1.323642866
701	1.32305811
702	1.322497387
703	1.32175728
704	1.321181696
705	1.320734629
706	1.319968828
707	1.319472368
708	1.318970527
709	1.318085695
710	1.317298892
711	1.316912635
712	1.316343713
713	1.315463626
714	1.314954459
715	1.314614554
716	1.314258679
717	1.31357794
718	1.313124345
719	1.312663081
720	1.311825531
721	1.311184074
722	1.31052239
723	1.309774841
724	1.309189197
725	1.308488747
726	1.307653979
727	1.306804777
728	1.305980117
729	1.305486845
730	1.304807419
731	1.304207212
732	1.303782222
733	1.302931199
734	1.302571965
735	1.301860393
736	1.301407849
737	1.300918851
738	1.299985101
739	1.299242734
740	1.298786703
741	1.298213751
742	1.297541967
743	1.296659247
744	1.296001418
745	1.295234962
746	1.294630962
747	1.293967008
748	1.293581098
749	1.292921161
750	1.29252297
751	1.291949214
752	1.291503841
753	1.29097988
754	1.290506359
755	1.290219114
756	1.289616348
757	1.289233703
758	1.288774978
759	1.288331705
760	1.287739276
761	1.287288791
762	1.28662012
763	1.285936292
764	1.285415925
765	1.285015117
766	1.284513639
767	1.283643858
768	1.283177225
769	1.282865568
770	1.282091358
771	1.281421145
772	1.281053827
773	1.280419065
774	1.279994622
775	1.279165698
776	1.278454666
777	1.277736207
778	1.277332471
779	1.276411806
780	1.275664675
781	1.275228068
782	1.274864278
783	1.274375622
784	1.274033541
785	1.2736898
786	1.273138384
787	1.272577342
788	1.271847416
789	1.271371814
790	1.270849194
791	1.270300637
792	1.269495905
793	1.269033468
794	1.268446852
795	1.267707803
796	1.26713202
797	1.266632168
798	1.266014044
799	1.265455792
800	1.264729217
801	1.263846025
802	1.263347705
803	1.262962188
804	1.262158618
805	1.261685191
806	1.2610324
807	1.260206571
808	1.259900294
809	1.259213896
810	1.258647414
811	1.258161929
812	1.257726389
813	1.257226272
814	1.256725655
815	1.255947408
816	1.255535514
817	1.25500188
818	1.2543057
819	1.253955714
820	1.253385167
821	1.252867007
822	1.252547221
823	1.25158883
824	1.250718322
825	1.250404192
826	1.249873388
827	1.249424305
828	1.248801176
829	1.24819443
830	1.247448646
831	1.246784676
832	1.245993679
833	1.245490918
834	1.245025204
835	1.244454187
836	1.243739005
837	1.243115925
838	1.242549998
839	1.242116709
840	1.241498289
841	1.241063277
842	1.240720761
843	1.240301227
844	1.2396392
845	1.238888492
846	1.238487105
847	1.237913842
848	1.23759821
849	1.237322374
850	1.236508257
851	1.235720992
852	1.235150627
853	1.234597665
854	1.234022428
855	1.233659037
856	1.233070385
857	1.232399258
858	1.232043263
859	1.231527055
860	1.230815536
861	1.230256279
862	1.229872236
863	1.229365255
864	1.228820506
865	1.228144088
866	1.227665568
867	1.227032768
868	1.226479632
869	1.226167829
870	1.225836965
871	1.225373578
872	1.224799422
873	1.224018235
874	1.223571695
875	1.223081636
876	1.222501022
877	1.222090046
878	1.221418418
879	1.220908573
880	1.220185463
881	1.219670859
882	1.219217176
883	1.218543882
884	1.21807869
885	1.217503039
886	1.217080802
887	1.216675676
888	1.216255697
889	1.215777222
890	1.215328472
891	1.215044581
892	1.214418354
893	1.213976036
894	1.213347539
895	1.212574747
896	1.212084
897	1.211850866
898	1.211341484
899	1.211059286
900	1.210424197
901	1.20976382
902	1.209307097
903	1.208702323
904	1.208172299
905	1.207849613
906	1.207593586
907	1.207013719
908	1.206512742
909	1.206044547
910	1.205593746
911	1.205078155
912	1.204599726
913	1.203739639
914	1.203226202
915	1.20259838
916	1.20200678
917	1.201571861
918	1.201028124
919	1.200656561
920	1.199777477
921	1.199347663
922	1.199011077
923	1.198548687
924	1.198016716
925	1.197615627
926	1.197150613
927	1.196463168
928	1.195930993
929	1.195091087
930	1.194419057
931	1.193934577
932	1.193139249
933	1.192436392
934	1.191906347
935	1.191469388
936	1.190957309
937	1.190529381
938	1.189859972
939	1.189367943
940	1.188771169
941	1.188461322
942	1.188011118
943	1.187439561
944	1.186969475
945	1.186558732
946	1.185843767
947	1.185320497
948	1.184798439
949	1.184239169
950	1.183921538
951	1.183533042
952	1.182904844
953	1.182468899
954	1.182079234
955	1.18160179
956	1.181147764
957	1.180556458
958	1.180012859
959	1.179516067
960	1.179179548
961	1.178792348
962	1.1785089
963	1.1780033
964	1.177532926
965	1.177008414
966	1.176526005
967	1.176237838
968	1.175779539
969	1.175273561
970	1.174735039
971	1.174467873
972	1.174024603
973	1.173631718
974	1.172848649
975	1.1723861
976	1.172115718
977	1.171427025
978	1.170997705
979	1.170678209
980	1.170320175
981	1.169567745
982	1.16903566
983	1.168498852
984	1.168106676
985	1.167570063
986	1.167232664
987	1.166785602
988	1.166223537
989	1.165806428
990	1.165579275
991	1.164916132
992	1.164619201
993	1.164253763
994	1.163877334
995	1.16323085
996	1.162642995
997	1.162101194
998	1.161598733
999	1.16080965
.15366219
99	1.156422364
